host_time_iso,host_t_ms,t_ms_device,x,y,z,stat1,stat2
2026-03-28 19:41:37.029,1774726897029.500,2236422,-32752,-32752,-717,1,3
2026-03-28 19:41:37.029,1774726897029.700,2236430,-32752,-32752,-722,1,3
2026-03-28 19:41:37.029,1774726897029.700,2236440,-32752,-32752,-718,1,3
2026-03-28 19:41:37.056,1774726897056.300,2236450,-32752,-32752,-720,1,3
2026-03-28 19:41:37.056,1774726897056.500,2236460,-32752,-32752,-722,1,3
2026-03-28 19:41:37.056,1774726897056.600,2236468,-32752,-32752,-725,1,3
2026-03-28 19:41:37.086,1774726897086.400,2236478,-32752,-32752,-723,1,3
2026-03-28 19:41:37.089,1774726897089.100,2236488,-32752,-32752,-722,1,3
2026-03-28 19:41:37.089,1774726897089.200,2236498,-32752,-32752,-719,1,3
2026-03-28 19:41:37.117,1774726897117.900,2236506,-32752,-32752,-719,1,3
2026-03-28 19:41:37.118,1774726897118.000,2236516,-32752,-32752,-721,1,3
2026-03-28 19:41:37.118,1774726897118.000,2236526,-32752,-32752,-720,1,3
2026-03-28 19:41:37.146,1774726897146.600,2236536,-32752,-32752,-726,1,3
2026-03-28 19:41:37.146,1774726897146.600,2236546,-32752,-32752,-722,1,3
2026-03-28 19:41:37.146,1774726897146.700,2236554,-32752,-32752,-722,1,3
2026-03-28 19:41:37.176,1774726897176.600,2236565,-32752,-32752,-723,1,3
2026-03-28 19:41:37.176,1774726897176.900,2236575,-32752,-32752,-720,1,3
2026-03-28 19:41:37.176,1774726897176.900,2236583,-32752,-32752,-728,1,3
2026-03-28 19:41:37.177,1774726897177.000,2236593,-32752,-32752,-725,1,3
2026-03-28 19:41:37.205,1774726897205.400,2236603,-32752,-32752,-718,1,3
2026-03-28 19:41:37.206,1774726897206.700,2236613,-32752,-32752,-724,1,3
2026-03-28 19:41:37.206,1774726897206.800,2236621,-32752,-32752,-724,1,3
2026-03-28 19:41:37.237,1774726897237.800,2236631,-32752,-32752,-729,1,3
2026-03-28 19:41:37.238,1774726897238.000,2236641,-32752,-32752,-723,1,3
2026-03-28 19:41:37.238,1774726897238.000,2236651,-32752,-32752,-726,1,3
2026-03-28 19:41:37.267,1774726897267.400,2236659,-32752,-32752,-720,1,3
2026-03-28 19:41:37.267,1774726897267.600,2236669,-32752,-32752,-721,1,3
2026-03-28 19:41:37.267,1774726897267.700,2236679,-32752,-32752,-723,1,3
2026-03-28 19:41:37.295,1774726897295.800,2236689,-32752,-32752,-718,1,3
2026-03-28 19:41:37.297,1774726897297.800,2236698,-32752,-32752,-723,1,3
2026-03-28 19:41:37.297,1774726897297.900,2236708,-32752,-32752,-718,1,3
2026-03-28 19:41:37.328,1774726897328.200,2236718,-32752,-32752,-728,1,3
2026-03-28 19:41:37.328,1774726897328.400,2236726,-32752,-32752,-722,1,3
2026-03-28 19:41:37.328,1774726897328.400,2236736,-32752,-32752,-718,1,3
2026-03-28 19:41:37.359,1774726897359.500,2236746,-32752,-32752,-728,1,3
2026-03-28 19:41:37.359,1774726897359.600,2236756,-32752,-32752,-725,1,3
2026-03-28 19:41:37.359,1774726897359.600,2236764,-32752,-32752,-721,1,3
