host_time_iso,host_t_ms,t_ms_device,x,y,z,stat1,stat2
2026-03-27 21:35:57.504,1774647357504.700,3486130,32752,32295,-18003,1,1
2026-03-27 21:35:57.504,1774647357504.900,3486140,32752,32291,-18008,1,1
2026-03-27 21:35:57.504,1774647357504.900,3486150,32752,32295,-18003,1,1
2026-03-27 21:35:57.537,1774647357537.300,3486160,32752,32291,-18005,1,1
2026-03-27 21:35:57.537,1774647357537.400,3486168,32752,32295,-18005,1,1
2026-03-27 21:35:57.537,1774647357537.500,3486178,32752,32294,-18008,1,1
2026-03-27 21:35:57.566,1774647357566.400,3486189,32752,32291,-18003,1,1
2026-03-27 21:35:57.566,1774647357566.500,3486197,32752,32292,-18010,1,1
2026-03-27 21:35:57.566,1774647357566.500,3486207,32752,32291,-18006,1,1
2026-03-27 21:35:57.596,1774647357596.400,3486217,32752,32294,-18003,1,1
2026-03-27 21:35:57.596,1774647357596.500,3486227,32752,32294,-18006,1,1
2026-03-27 21:35:57.596,1774647357596.500,3486235,32752,32291,-18002,1,1
2026-03-27 21:35:57.626,1774647357626.300,3486245,32752,32292,-18003,1,1
2026-03-27 21:35:57.626,1774647357626.400,3486255,32752,32293,-18013,1,1
2026-03-27 21:35:57.626,1774647357626.400,3486265,32752,32297,-18005,1,1
2026-03-27 21:35:57.656,1774647357656.700,3486274,32752,32294,-18006,1,1
2026-03-27 21:35:57.656,1774647357656.800,3486284,32752,32294,-18006,1,1
2026-03-27 21:35:57.656,1774647357656.800,3486294,32752,32297,-18007,1,1
2026-03-27 21:35:57.656,1774647357656.800,3486302,32752,32293,-18008,1,1
2026-03-27 21:35:57.685,1774647357685.500,3486312,32752,32294,-18005,1,1
2026-03-27 21:35:57.685,1774647357685.600,3486322,32752,32296,-18011,1,1
2026-03-27 21:35:57.714,1774647357714.300,3486332,32752,32293,-18003,1,1
2026-03-27 21:35:57.715,1774647357715.600,3486340,32752,32289,-18006,1,1
2026-03-27 21:35:57.715,1774647357715.600,3486350,32752,32290,-18012,1,1
2026-03-27 21:35:57.744,1774647357744.400,3486360,32752,32292,-18003,1,1
2026-03-27 21:35:57.745,1774647357745.800,3486369,32752,32291,-17998,1,1
2026-03-27 21:35:57.745,1774647357745.800,3486379,32752,32293,-18005,1,1
2026-03-27 21:35:57.745,1774647357745.900,3486388,32752,32295,-18010,1,1
2026-03-27 21:35:57.774,1774647357774.600,3486399,32752,32289,-18003,1,1
2026-03-27 21:35:57.775,1774647357775.700,3486407,32752,32288,-18003,1,1
2026-03-27 21:35:57.775,1774647357775.800,3486417,32752,32293,-18002,1,1
2026-03-27 21:35:57.804,1774647357804.700,3486427,32752,32292,-18006,1,1
2026-03-27 21:35:57.804,1774647357804.800,3486437,32752,32293,-18003,1,1
2026-03-27 21:35:57.804,1774647357804.900,3486445,32752,32294,-17999,1,1
2026-03-27 21:35:57.833,1774647357833.700,3486455,32752,32289,-18003,1,1
2026-03-27 21:35:57.834,1774647357834.700,3486465,32752,32289,-18007,1,1
2026-03-27 21:35:57.834,1774647357834.800,3486475,32752,32287,-18006,1,1
2026-03-27 21:35:57.864,1774647357864.500,3486484,32752,32291,-18007,1,1
2026-03-27 21:35:57.865,1774647357865.800,3486494,32752,32289,-18003,1,1
2026-03-27 21:35:57.866,1774647357866.000,3486504,32752,32294,-18009,1,1
2026-03-27 21:35:57.894,1774647357894.000,3486514,32752,32296,-18002,1,1
2026-03-27 21:35:57.894,1774647357894.900,3486522,32752,32296,-18003,1,1
2026-03-27 21:35:57.895,1774647357895.100,3486532,32752,32289,-18005,1,1
2026-03-27 21:35:57.895,1774647357895.200,3486542,32752,32289,-18003,1,1
2026-03-27 21:35:57.923,1774647357923.600,3486551,32752,32290,-18009,1,1
2026-03-27 21:35:57.924,1774647357924.500,3486560,32752,32291,-18004,1,1
2026-03-27 21:35:57.924,1774647357924.600,3486570,32752,32289,-18005,1,1
2026-03-27 21:35:57.954,1774647357954.200,3486579,32752,32287,-18005,1,1
2026-03-27 21:35:57.955,1774647357955.200,3486589,32752,32291,-18007,1,1
