host_time_iso,host_t_ms,t_ms_device,x,y,z,stat1,stat2
2026-03-27 21:28:42.826,1774646922826.200,3051451,32752,32310,-18041,1,1
2026-03-27 21:28:42.826,1774646922826.400,3051461,32752,32310,-18037,1,1
2026-03-27 21:28:42.826,1774646922826.400,3051471,32752,32306,-18037,1,1
2026-03-27 21:28:42.854,1774646922854.800,3051480,32752,32306,-18035,1,1
2026-03-27 21:28:42.855,1774646922855.800,3051490,32752,32304,-18031,1,1
2026-03-27 21:28:42.855,1774646922855.800,3051500,32752,32306,-18035,1,1
2026-03-27 21:28:42.887,1774646922887.700,3051508,32752,32313,-18037,1,1
2026-03-27 21:28:42.887,1774646922887.800,3051518,32752,32305,-18034,1,1
2026-03-27 21:28:42.887,1774646922887.800,3051528,32752,32311,-18024,1,1
2026-03-27 21:28:42.916,1774646922916.300,3051538,32752,32308,-18035,1,1
2026-03-27 21:28:42.916,1774646922916.400,3051546,32752,32307,-18037,1,1
2026-03-27 21:28:42.916,1774646922916.400,3051556,32752,32308,-18038,1,1
2026-03-27 21:28:42.916,1774646922916.400,3051566,32752,32309,-18041,1,1
2026-03-27 21:28:42.944,1774646922944.800,3051576,32752,32307,-18039,1,1
2026-03-27 21:28:42.946,1774646922946.100,3051584,32752,32307,-18040,1,1
2026-03-27 21:28:42.946,1774646922946.100,3051594,32752,32303,-18031,1,1
2026-03-27 21:28:42.974,1774646922974.700,3051604,32752,32309,-18041,1,1
2026-03-27 21:28:42.976,1774646922976.100,3051614,32752,32313,-18041,1,1
2026-03-27 21:28:42.976,1774646922976.100,3051623,32752,32308,-18045,1,1
2026-03-27 21:28:43.004,1774646923004.800,3051633,32752,32307,-18043,1,1
2026-03-27 21:28:43.005,1774646923005.800,3051643,32752,32310,-18042,1,1
2026-03-27 21:28:43.005,1774646923005.800,3051651,32752,32309,-18038,1,1
2026-03-27 21:28:43.035,1774646923035.500,3051661,32752,32308,-18040,1,1
2026-03-27 21:28:43.036,1774646923036.500,3051671,32752,32306,-18039,1,1
2026-03-27 21:28:43.036,1774646923036.600,3051681,32752,32304,-18035,1,1
2026-03-27 21:28:43.067,1774646923067.800,3051690,32752,32308,-18038,1,1
2026-03-27 21:28:43.067,1774646923067.900,3051700,32752,32305,-18042,1,1
2026-03-27 21:28:43.067,1774646923067.900,3051709,32752,32308,-18038,1,1
2026-03-27 21:28:43.097,1774646923097.800,3051718,32752,32307,-18037,1,1
2026-03-27 21:28:43.097,1774646923097.900,3051728,32752,32307,-18037,1,1
2026-03-27 21:28:43.097,1774646923097.900,3051738,32752,32311,-18043,1,1
2026-03-27 21:28:43.127,1774646923127.000,3051748,32752,32309,-18041,1,1
2026-03-27 21:28:43.127,1774646923127.100,3051756,32752,32307,-18040,1,1
2026-03-27 21:28:43.127,1774646923127.100,3051766,32752,32304,-18041,1,1
2026-03-27 21:28:43.127,1774646923127.200,3051776,32752,32305,-18039,1,1
